line,variable
org.apache.commons.math3.distribution$ExponentialDistribution#getSolverAbsoluteAccuracy():249,solverAbsoluteAccuracy
"org.apache.commons.math3.linear$ArrayFieldVector#ArrayFieldVector(org.apache.commons.math3.Field,org.apache.commons.math3.FieldElement[],boolean):175",copyArray
"org.apache.commons.math3.distribution$HypergeometricDistribution#innerCumulativeProbability(int,int,int):254",x0;x1
"org.apache.commons.math3.distribution$HypergeometricDistribution#innerCumulativeProbability(int,int,int):258",ret
"org.apache.commons.math3.stat.descriptive.summary$SumOfLogs#evaluate(double[],int,int):141",sumLog
org.apache.commons.math3.optimization.fitting$GaussianFitter#fit(double[]):111,fit;f;initialGuess
org.apache.commons.math3.fitting.leastsquares$AbstractLeastSquaresOptimizer#computeResiduals(double[]):307,residuals
"org.apache.commons.math3.analysis.function$Gaussian#value(double,double,double):206",xMinusMean;FastMath;i2s2;exp;norm
org.apache.commons.math3.fitting.leastsquares$AbstractLeastSquaresOptimizer#computeResiduals(double[]):303,i;target
"org.apache.commons.math3.stat.descriptive.summary$SumOfLogs#evaluate(double[],int,int):137",length;i;begin
org.apache.commons.math3.distribution$ExponentialDistribution#sample():236,umin;u2
org.apache.commons.math3.distribution$ExponentialDistribution#sample():243,a;EXPONENTIAL_SA_QI;mean;umin
"org.apache.commons.math3.stat.descriptive.summary$SumOfLogs#evaluate(double[],int,int):135",test;values;length;begin
org.apache.commons.math3.optimization.fitting$GaussianFitter#fit():122,fit;guess
org.apache.commons.math3.linear$ConjugateGradient#getCheck():138,check
"org.apache.commons.math3.linear$ConjugateGradient#solveInPlace(org.apache.commons.math3.linear.RealLinearOperator,org.apache.commons.math3.linear.RealLinearOperator,org.apache.commons.math3.linear.RealVector,org.apache.commons.math3.linear.RealVector):199",rhoNext;check
org.apache.commons.math3.ode.nonstiff$AdaptiveStepsizeIntegrator#setInitialStepSize(double):209,initialStepSize;minStep;maxStep
"org.apache.commons.math3.linear$ConjugateGradient#solveInPlace(org.apache.commons.math3.linear.RealLinearOperator,org.apache.commons.math3.linear.RealLinearOperator,org.apache.commons.math3.linear.RealVector,org.apache.commons.math3.linear.RealVector):195",m
"org.apache.commons.math3.linear$ArrayFieldVector#ArrayFieldVector(org.apache.commons.math3.FieldElement[],boolean):153",copyArray
org.apache.commons.math3.distribution$ExponentialDistribution#sample():223,a;u;mean
org.apache.commons.math3.distribution$ExponentialDistribution#sample():222,EXPONENTIAL_SA_QI;u
"org.apache.commons.math3.linear$ArrayFieldVector#ArrayFieldVector(org.apache.commons.math3.FieldElement[],boolean):149",d
org.apache.commons.math3.distribution$HypergeometricDistribution#getNumericalVariance():279,numericalVarianceIsCalculated
"org.apache.commons.math3.complex$ComplexFormat#ComplexFormat(java.text.NumberFormat,java.text.NumberFormat):88",realFormat
"org.apache.commons.math3.complex$ComplexFormat#ComplexFormat(java.text.NumberFormat,java.text.NumberFormat):85",imaginaryFormat
org.apache.commons.math3.analysis.function$Log10#value(double):37,log10;FastMath;x
org.apache.commons.math3.linear$MatrixUtils$BigFractionMatrixConverter#getConvertedMatrix():696,data
org.apache.commons.math3.distribution$ExponentialDistribution#sample():213,u
org.apache.commons.math3.genetics$ListPopulation#setChromosomes(java.util.List):99,chromosomes
"org.apache.commons.math3.geometry.partitioning$BSPTree#insertInTree(org.apache.commons.math3.geometry.partitioning.BSPTree,boolean):580",tree
org.apache.commons.math3.distribution$HypergeometricDistribution#getNumericalMean():268,getNumberOfSuccesses;getSampleSize;getPopulationSize
org.apache.commons.math3.stat.descriptive.summary$SumOfLogs#copy():152,result
"org.apache.commons.math3.geometry.partitioning$BSPTree#insertInTree(org.apache.commons.math3.geometry.partitioning.BSPTree,boolean):587",tree
org.apache.commons.math3.util$OpenIntToFieldHashMap#buildArray(int):615,Array;field;getRuntimeClass;length;newInstance
"org.apache.commons.math3.linear$ConjugateGradient#solveInPlace(org.apache.commons.math3.linear.RealLinearOperator,org.apache.commons.math3.linear.RealLinearOperator,org.apache.commons.math3.linear.RealVector,org.apache.commons.math3.linear.RealVector):176",m
org.apache.commons.math3.analysis.function$Log10#derivative():45,toDifferentiableUnivariateFunction;FunctionUtils;derivative
"org.apache.commons.math3.genetics$ListPopulation#ListPopulation(java.util.List,int):72",populationLimit
org.apache.commons.math3.distribution$HypergeometricDistribution#calculateNumericalVariance():295,m;n;N
"org.apache.commons.math3.genetics$ListPopulation#ListPopulation(java.util.List,int):69",chromosomes
org.apache.commons.math3.complex$ComplexFormat#ComplexFormat(java.text.NumberFormat):67,format
"org.apache.commons.math3.linear$ConjugateGradient#solveInPlace(org.apache.commons.math3.linear.RealLinearOperator,org.apache.commons.math3.linear.RealLinearOperator,org.apache.commons.math3.linear.RealVector,org.apache.commons.math3.linear.RealVector):187",x
"org.apache.commons.math3.linear$ConjugateGradient#solveInPlace(org.apache.commons.math3.linear.RealLinearOperator,org.apache.commons.math3.linear.RealLinearOperator,org.apache.commons.math3.linear.RealVector,org.apache.commons.math3.linear.RealVector):185",rnorm;rmax
org.apache.commons.math3.distribution$HypergeometricDistribution#getNumericalVariance():283,numericalVariance
"org.apache.commons.math3.genetics$ListPopulation#ListPopulation(java.util.List,int):75",size;chromosomes;populationLimit
org.apache.commons.math3.analysis.function$Log10#value(org.apache.commons.math3.analysis.differentiation.DerivativeStructure):52,t;log10
org.apache.commons.math3.distribution$BinomialDistribution#probability(int):110,ret
org.apache.commons.math3.linear$ArrayRealVector#getLInfDistance(org.apache.commons.math3.linear.RealVector):557,max
org.apache.commons.math3.linear$ArrayRealVector#getLInfDistance(org.apache.commons.math3.linear.RealVector):553,data;i
"org.apache.commons.math3.util$Precision#equalsIncludingNaN(float,float,float):181",abs;FastMath;x;y;eps;equalsIncludingNaN
org.apache.commons.math3.linear$BlockRealMatrix#copy():298,copied
"org.apache.commons.math3.ode.nonstiff$AdaptiveStepsizeIntegrator#initializeStep(boolean,int,double[],double,double[],double[],double[],double[]):253",initialStep
org.apache.commons.math3.distribution$BinomialDistribution#cumulativeProbability(int):116,x
"org.apache.commons.math3.ode.nonstiff$AdaptiveStepsizeIntegrator#initializeStep(boolean,int,double[],double,double[],double[],double[],double[]):255",initialStep;forward
org.apache.commons.math3.optimization.direct$MultivariateFunctionMappingAdapter$NoBoundsMapper#unboundedToBounded(double):212,y
org.apache.commons.math3.distribution$BinomialDistribution#cumulativeProbability(int):118,numberOfTrials;x
"org.apache.commons.math3.geometry.partitioning$AbstractRegion$BoundaryBuilder#characterize(org.apache.commons.math3.geometry.partitioning.BSPTree,org.apache.commons.math3.geometry.partitioning.SubHyperplane,org.apache.commons.math3.geometry.partitioning.SubHyperplane[]):367",inside
org.apache.commons.math3.optimization.direct$MultivariateFunctionMappingAdapter$NoBoundsMapper#boundedToUnbounded(double):217,x
org.apache.commons.math3.analysis.differentiation$DerivativeStructure#add(double):293,ds
"org.apache.commons.math3.geometry.partitioning$AbstractRegion$BoundaryBuilder#characterize(org.apache.commons.math3.geometry.partitioning.BSPTree,org.apache.commons.math3.geometry.partitioning.SubHyperplane,org.apache.commons.math3.geometry.partitioning.SubHyperplane[]):364",node;getCut
org.apache.commons.math3.linear$BlockRealMatrix#copy():294,blocks;i
org.apache.commons.math3.linear$ArrayRealVector#getLInfDistance(org.apache.commons.math3.linear.RealVector):549,v
org.apache.commons.math3.linear$MatrixUtils$FractionMatrixConverter#getConvertedMatrix():651,data
org.apache.commons.math3.distribution$BinomialDistribution#probability(int):103,numberOfTrials;x
"org.apache.commons.math3.linear$OpenMapRealVector#OpenMapRealVector(double[],double):144",values;key
"org.apache.commons.math3.linear$OpenMapRealVector#OpenMapRealVector(double[],double):146",value;isDefaultValue
"org.apache.commons.math3.stat.inference$TestUtils#homoscedasticT(double[],double[]):67",sample1;homoscedasticT;T_TEST;sample2
org.apache.commons.math3.linear$ArrayRealVector#getL1Distance(org.apache.commons.math3.linear.RealVector):541,sum
"org.apache.commons.math3.linear$BlockRealMatrix#createMatrix(int,int):284",columnDimension;rowDimension
"org.apache.commons.math3.ode.nonstiff$AdaptiveStepsizeIntegrator#sanityChecks(org.apache.commons.math3.ode.ExpandableStatefulODE,double):229",mainSetDimension;vecRelativeTolerance
"org.apache.commons.math3.ode.nonstiff$AdaptiveStepsizeIntegrator#sanityChecks(org.apache.commons.math3.ode.ExpandableStatefulODE,double):225",vecAbsoluteTolerance;mainSetDimension
org.apache.commons.math3.linear$MatrixUtils#bigFractionMatrixToRealMatrix(org.apache.commons.math3.linear.FieldMatrix):665,getConvertedMatrix;converter
org.apache.commons.math3.distribution$BinomialDistribution#getNumericalMean():134,numberOfTrials;probabilityOfSuccess
org.apache.commons.math3.optimization.direct$MultivariateFunctionMappingAdapter$LowerBoundMapper#boundedToUnbounded(double):242,log;lower;FastMath;x
org.apache.commons.math3.linear$ArrayRealVector#outerProduct(org.apache.commons.math3.linear.RealVector):577,i;m
org.apache.commons.math3.linear$ArrayRealVector#outerProduct(org.apache.commons.math3.linear.RealVector):578,j;n
org.apache.commons.math3.linear$ArrayRealVector#outerProduct(org.apache.commons.math3.linear.RealVector):572,v
"org.apache.commons.math3.analysis.solvers$UnivariateSolverUtils#bracket(org.apache.commons.math3.analysis.UnivariateFunction,double,double,double,int):284",fa;fb
"org.apache.commons.math3.geometry.partitioning$AbstractRegion$BoundaryBuilder#characterize(org.apache.commons.math3.geometry.partitioning.BSPTree,org.apache.commons.math3.geometry.partitioning.SubHyperplane,org.apache.commons.math3.geometry.partitioning.SubHyperplane[]):382",sub;side;hyperplane;BOTH;PLUS;MINUS
org.apache.commons.math3.optimization.direct$MultivariateFunctionMappingAdapter$LowerBoundMapper#unboundedToBounded(double):237,lower;FastMath;y;exp
"org.apache.commons.math3.analysis.solvers$UnivariateSolverUtils#bracket(org.apache.commons.math3.analysis.UnivariateFunction,double,double,double,int):291",a;b
"org.apache.commons.math3.geometry.partitioning$AbstractRegion$BoundaryBuilder#characterize(org.apache.commons.math3.geometry.partitioning.BSPTree,org.apache.commons.math3.geometry.partitioning.SubHyperplane,org.apache.commons.math3.geometry.partitioning.SubHyperplane[]):368",characterization
org.apache.commons.math3.distribution$BinomialDistribution#cumulativeProbability(int):124,ret
org.apache.commons.math3.linear$ArrayRealVector#getLInfDistance(org.apache.commons.math3.linear.RealVector):565,max
"org.apache.commons.math3.util$Precision#compareTo(double,double,double):96",equals;x;y;eps
org.apache.commons.math3.linear$ArrayRealVector#getLInfDistance(org.apache.commons.math3.linear.RealVector):561,data;i
"org.apache.commons.math3.util$Precision#compareTo(double,double,double):98",x;y
"org.apache.commons.math3.geometry.partitioning$AbstractRegion$BoundaryBuilder#characterize(org.apache.commons.math3.geometry.partitioning.BSPTree,org.apache.commons.math3.geometry.partitioning.SubHyperplane,org.apache.commons.math3.geometry.partitioning.SubHyperplane[]):374",characterization
"org.apache.commons.math3.util$MathArrays#scale(double,double[]):93",newArr
"org.apache.commons.math3.util$MathArrays#scale(double,double[]):90",arr;i
org.apache.commons.math3.geometry.partitioning$AbstractRegion$BoundaryBuilder#visitInternalNode(org.apache.commons.math3.geometry.partitioning.BSPTree):319,minusChar;isEmpty
org.apache.commons.math3.exception$NonMonotonicSequenceException#getDirection():99,direction
org.apache.commons.math3.analysis.function$Constant#value(double):43,c
org.apache.commons.math3.linear$ArrayRealVector#outerProduct(org.apache.commons.math3.linear.RealVector):592,out
"org.apache.commons.math3.random$RandomDataGenerator#nextBeta(double,double):505",BetaDistribution;getRandomGenerator;alpha;sample;beta
org.apache.commons.math3.geometry.partitioning$AbstractSubHyperplane#reunite(org.apache.commons.math3.geometry.partitioning.SubHyperplane):95,remainingRegion;union;buildNew;hyperplane;o
"org.apache.commons.math3.ode.nonstiff$AdaptiveStepsizeIntegrator#initializeStep(boolean,int,double[],double,double[],double[],double[],double[]):298",h;getMinStep
"org.apache.commons.math3.ode.nonstiff$AdaptiveStepsizeIntegrator#initializeStep(boolean,int,double[],double,double[],double[],double[],double[]):293",maxInv2
"org.apache.commons.math3.linear$MatrixUtils#checkMultiplicationCompatible(org.apache.commons.math3.linear.AnyMatrix,org.apache.commons.math3.linear.AnyMatrix):606",getColumnDimension;left;getRowDimension;right
org.apache.commons.math3.linear$ArrayRealVector#outerProduct(org.apache.commons.math3.linear.RealVector):588,j;n
org.apache.commons.math3.linear$ArrayRealVector#outerProduct(org.apache.commons.math3.linear.RealVector):587,i;m
org.apache.commons.math3.linear$ArrayRealVector#outerProduct(org.apache.commons.math3.linear.RealVector):582,out
"org.apache.commons.math3.random$RandomDataGenerator#nextBinomial(int,double):517",numberOfTrials;getRandomGenerator;probabilityOfSuccess;sample
org.apache.commons.math3.geometry.partitioning$AbstractRegion$BoundaryBuilder#visitInternalNode(org.apache.commons.math3.geometry.partitioning.BSPTree):312,plusChar;isEmpty
"org.apache.commons.math3.ode.nonstiff$AdaptiveStepsizeIntegrator#initializeStep(boolean,int,double[],double,double[],double[],double[],double[]):284",scale;j
org.apache.commons.math3.linear$MatrixUtils#fractionMatrixToRealMatrix(org.apache.commons.math3.linear.FieldMatrix):620,getConvertedMatrix;converter
"org.apache.commons.math3.ode.nonstiff$AdaptiveStepsizeIntegrator#initializeStep(boolean,int,double[],double,double[],double[],double[],double[]):270",yOnScale2;yDotOnScale2
org.apache.commons.math3.distribution$HypergeometricDistribution#probability(int):214,ret
org.apache.commons.math3.geometry.partitioning$AbstractSubHyperplane#getHyperplane():72,hyperplane
"org.apache.commons.math3.ode.nonstiff$AdaptiveStepsizeIntegrator#initializeStep(boolean,int,double[],double,double[],double[],double[],double[]):277",y0;j
org.apache.commons.math3.analysis.function$Constant#value(org.apache.commons.math3.analysis.differentiation.DerivativeStructure):58,c;t;getFreeParameters;getOrder
"org.apache.commons.math3.ode.nonstiff$AdaptiveStepsizeIntegrator#initializeStep(boolean,int,double[],double,double[],double[],double[],double[]):272",forward
org.apache.commons.math3.analysis.function$Gaussian#value(org.apache.commons.math3.analysis.differentiation.DerivativeStructure):256,t;compose;f
org.apache.commons.math3.geometry.partitioning$AbstractRegion$BoundaryBuilder#visitInternalNode(org.apache.commons.math3.geometry.partitioning.BSPTree):326,plusChar;isEmpty
"org.apache.commons.math3.exception$NonMonotonicSequenceException#NonMonotonicSequenceException(java.lang.Number,java.lang.Number,int,org.apache.commons.math3.util.MathArrays$OrderDirection,boolean):80",strict;MathArrays;direction
org.apache.commons.math3.geometry.partitioning$AbstractSubHyperplane#getSize():88,getSize;remainingRegion
org.apache.commons.math3.analysis.function$Gaussian#value(org.apache.commons.math3.analysis.differentiation.DerivativeStructure):242,k
org.apache.commons.math3.geometry.partitioning$AbstractSubHyperplane#getRemainingRegion():83,remainingRegion
org.apache.commons.math3.analysis.function$Gaussian#value(org.apache.commons.math3.analysis.differentiation.DerivativeStructure):240,k
org.apache.commons.math3.analysis.function$Gaussian#value(org.apache.commons.math3.analysis.differentiation.DerivativeStructure):246,n
org.apache.commons.math3.geometry.partitioning$AbstractRegion$BoundaryBuilder#visitInternalNode(org.apache.commons.math3.geometry.partitioning.BSPTree):333,minusChar;isEmpty
"org.apache.commons.math3.ode.nonstiff$AdaptiveStepsizeIntegrator#initializeStep(boolean,int,double[],double,double[],double[],double[],double[]):263",scale;j
"org.apache.commons.math3.random$RandomDataGenerator#nextF(double,double):553",denominatorDf;getRandomGenerator;numeratorDf;sample;FDistribution
"org.apache.commons.math3.analysis.solvers$UnivariateSolverUtils#bracket(org.apache.commons.math3.analysis.UnivariateFunction,double,double,double):218",Integer;initial;upperBound;function;bracket;lowerBound
"org.apache.commons.math3.optim.nonlinear.scalar.noderiv$BOBYQAOptimizer#prelim(double[],double[]):1604",npt;k
"org.apache.commons.math3.optim.nonlinear.scalar.noderiv$BOBYQAOptimizer#prelim(double[],double[]):1606",max;j
org.apache.commons.math3.linear$BlockRealMatrix#toBlocksLayout(double[][]):219,iBlock;blockRows
"org.apache.commons.math3.optim.nonlinear.scalar.noderiv$BOBYQAOptimizer#prelim(double[],double[]):1601",max;i
org.apache.commons.math3.linear$BlockRealMatrix#toBlocksLayout(double[][]):211,columns;length
org.apache.commons.math3.optimization.direct$MultivariateFunctionMappingAdapter$LowerUpperBoundMapper#unboundedToBounded(double):292,y;boundingFunction;value
org.apache.commons.math3.optimization.direct$MultivariateFunctionMappingAdapter$LowerUpperBoundMapper#boundedToUnbounded(double):297,unboundingFunction;x;value
"org.apache.commons.math3.util$Precision#equals(float,float,int):216",Float;isEqual;x;y;isNaN
org.apache.commons.math3.analysis.differentiation$DerivativeStructure#getFreeParameters():225,getFreeParameters;compiler
"org.apache.commons.math3.util$Precision#equals(float,float,int):210",yInt
org.apache.commons.math3.geometry.partitioning$AbstractSubHyperplane#copySelf():65,remainingRegion;buildNew;hyperplane
org.apache.commons.math3.linear$BlockRealMatrix#toBlocksLayout(double[][]):209,i;rawData
org.apache.commons.math3.analysis.differentiation$DerivativeStructure#getOrder():232,getOrder;compiler
"org.apache.commons.math3.util$Precision#equals(double,double):244",equals;x;y
org.apache.commons.math3.distribution$KolmogorovSmirnovDistribution#createH(double):297,i;j
org.apache.commons.math3.distribution$KolmogorovSmirnovDistribution#createH(double):295,i;m
org.apache.commons.math3.distribution$KolmogorovSmirnovDistribution#createH(double):296,j;m
"org.apache.commons.math3.random$RandomDataGenerator#nextCauchy(double,double):528",median;getRandomGenerator;scale;CauchyDistribution;sample
org.apache.commons.math3.linear$BlockRealMatrix#toBlocksLayout(double[][]):234,p;pEnd
org.apache.commons.math3.analysis.differentiation$DerivativeStructure#createConstant(double):246,c;getFreeParameters;getOrder
"org.apache.commons.math3.util$Precision#equalsIncludingNaN(float,float,int):232",Float;equals;x;y;isNaN;maxUlps
org.apache.commons.math3.random$RandomDataGenerator#nextChiSquare(double):539,ChiSquaredDistribution;df;getRandomGenerator;sample
org.apache.commons.math3.optim.nonlinear.scalar$ObjectiveFunctionGradient#getObjectiveFunctionGradient():45,gradient
org.apache.commons.math3.linear$BlockRealMatrix#toBlocksLayout(double[][]):223,jBlock;blockColumns
org.apache.commons.math3.analysis.differentiation$DerivativeStructure#getReal():253,data
org.apache.commons.math3.optimization.direct$MultivariateFunctionMappingAdapter$UpperBoundMapper#unboundedToBounded(double):262,upper;FastMath;y;exp
org.apache.commons.math3.distribution$BinomialDistribution#getSupportLowerBound():157,numberOfTrials;probabilityOfSuccess
org.apache.commons.math3.linear$ArrayRealVector#getDistance(org.apache.commons.math3.linear.RealVector):517,sqrt;FastMath;sum
"org.apache.commons.math3.random$RandomDataGenerator#nextUniform(double,double,boolean):593",lower;upper
org.apache.commons.math3.linear$ArrayRealVector#getDistance(org.apache.commons.math3.linear.RealVector):513,data;i
"org.apache.commons.math3.analysis.solvers$UnivariateSolverUtils#bracket(org.apache.commons.math3.analysis.UnivariateFunction,double,double,double,int):263",maximumIterations
"org.apache.commons.math3.random$RandomDataGenerator#nextUniform(double,double,boolean):598",isInfinite;lower;Double
"org.apache.commons.math3.analysis.solvers$UnivariateSolverUtils#bracket(org.apache.commons.math3.analysis.UnivariateFunction,double,double,double,int):260",function
"org.apache.commons.math3.analysis.solvers$LaguerreSolver#solveAllComplex(double[],double):203",solveAll;initial;complexSolver;coefficients;ComplexUtils;convertToComplex
org.apache.commons.math3.distribution$KolmogorovSmirnovDistribution#createH(double):274,hDouble
org.apache.commons.math3.stat.descriptive$SynchronizedSummaryStatistics#getVarianceImpl():311,getVarianceImpl
org.apache.commons.math3.linear$ArrayRealVector#getDistance(org.apache.commons.math3.linear.RealVector):509,sqrt;FastMath;sum
org.apache.commons.math3.distribution$BinomialDistribution#getNumericalVariance():145,p;numberOfTrials
org.apache.commons.math3.linear$ArrayRealVector#getDistance(org.apache.commons.math3.linear.RealVector):505,data;i
"org.apache.commons.math3.util$Precision#equalsIncludingNaN(double,double):257",equals;x;y;isNaN;Double
"org.apache.commons.math3.fraction$FractionFormat#parse(java.lang.String,java.text.ParsePosition):232",c
org.apache.commons.math3.linear$ArrayRealVector#getDistance(org.apache.commons.math3.linear.RealVector):501,v
"org.apache.commons.math3.fraction$FractionFormat#parse(java.lang.String,java.text.ParsePosition):236",intValue;num
org.apache.commons.math3.linear$BlockRealMatrix#toBlocksLayout(double[][]):242,blocks
org.apache.commons.math3.analysis.differentiation$DerivativeStructure#getValue():261,data
org.apache.commons.math3.analysis.differentiation$DerivativeStructure#getPartialDerivative(int[]):276,getPartialDerivativeIndex;data;orders;compiler
org.apache.commons.math3.linear$ArrayRealVector#getL1Distance(org.apache.commons.math3.linear.RealVector):537,data;i
org.apache.commons.math3.linear$ArrayRealVector#getL1Distance(org.apache.commons.math3.linear.RealVector):533,sum
"org.apache.commons.math3.fraction$FractionFormat#parse(java.lang.String,java.text.ParsePosition):262",intValue;num;den
"org.apache.commons.math3.random$RandomDataGenerator#nextUniform(double,double):572",lower;upper;nextUniform
"org.apache.commons.math3.util$Precision#equalsWithRelativeTolerance(double,double,double):288",equals;x;y
org.apache.commons.math3.distribution$KolmogorovSmirnovDistribution#roundedK(double):252,pFrac
"org.apache.commons.math3.linear$BlockRealMatrix#createBlocksLayout(int,int):276",blocks
"org.apache.commons.math3.transform$FastFourierTransformer#transform(org.apache.commons.math3.analysis.UnivariateFunction,double,double,int,org.apache.commons.math3.transform.TransformType):402",transform;data;type
org.apache.commons.math3.optim.nonlinear.scalar$MultivariateFunctionMappingAdapter$LowerUpperBoundMapper#boundedToUnbounded(double):292,unboundingFunction;x;value
org.apache.commons.math3.linear$ArrayRealVector#getL1Distance(org.apache.commons.math3.linear.RealVector):529,data;i
org.apache.commons.math3.linear$ArrayRealVector#getL1Distance(org.apache.commons.math3.linear.RealVector):525,v
org.apache.commons.math3.stat.descriptive$SynchronizedSummaryStatistics#copy():335,result
org.apache.commons.math3.distribution$BinomialDistribution#getSupportUpperBound():169,numberOfTrials;probabilityOfSuccess
"org.apache.commons.math3.fraction$FractionFormat#parse(java.lang.String,java.text.ParsePosition):254",den
"org.apache.commons.math3.util$Precision#equals(double,double,double):272",abs;equals;FastMath;x;y;eps
"org.apache.commons.math3.linear$BlockRealMatrix#createBlocksLayout(int,int):263",iBlock;blockRows
org.apache.commons.math3.optimization.direct$MultivariateFunctionMappingAdapter$UpperBoundMapper#boundedToUnbounded(double):267,log;upper;FastMath;x
org.apache.commons.math3.distribution$KolmogorovSmirnovDistribution#roundedK(double):248,i;n
org.apache.commons.math3.analysis.differentiation$DerivativeStructure#getAllDerivatives():284,data;clone
"org.apache.commons.math3.linear$BlockRealMatrix#createBlocksLayout(int,int):267",jBlock;blockColumns
"org.apache.commons.math3.transform$FastFourierTransformer#transform(org.apache.commons.math3.complex.Complex[],org.apache.commons.math3.transform.TransformType):418",dataRI;createComplexArray;TransformUtils
org.apache.commons.math3.stat.descriptive.moment$FourthMoment#increment(double):89,n
org.apache.commons.math3.distribution$TriangularDistribution#inverseCumulativeProbability(double):262,p
org.apache.commons.math3.distribution$TriangularDistribution#inverseCumulativeProbability(double):265,p
org.apache.commons.math3.distribution$TriangularDistribution#inverseCumulativeProbability(double):266,a
org.apache.commons.math3.distribution$TriangularDistribution#inverseCumulativeProbability(double):268,p
org.apache.commons.math3.distribution$TriangularDistribution#inverseCumulativeProbability(double):269,b
org.apache.commons.math3.linear$ArrayFieldVector#ArrayFieldVector(org.apache.commons.math3.linear.FieldVector):232,data;i
org.apache.commons.math3.fraction$FractionFormat#parse(java.lang.String):202,result
org.apache.commons.math3.special$Erf#erfcInv(double):240,erfInv;x
"org.apache.commons.math3.optim.nonlinear.scalar.noderiv$BOBYQAOptimizer#prelim(double[],double[]):1683",numEval
org.apache.commons.math3.distribution$KolmogorovSmirnovDistribution#roundedK(double):239,j;m
"org.apache.commons.math3.optim.nonlinear.scalar.noderiv$BOBYQAOptimizer#prelim(double[],double[]):1686",fAtInterpolationPoints;f;trustRegionCenterInterpolationPointIndex;getEntry
org.apache.commons.math3.distribution$KolmogorovSmirnovDistribution#roundedK(double):238,i;m
org.apache.commons.math3.distribution$TriangularDistribution#inverseCumulativeProbability(double):274,p;a;b;c;sqrt;FastMath
org.apache.commons.math3.geometry.partitioning$BSPTree#split(org.apache.commons.math3.geometry.partitioning.SubHyperplane):548,sameOrientationAs;sub;minus;copySelf;sHyperplane;attribute;cHyperplane;plus
"org.apache.commons.math3.optim.nonlinear.scalar.noderiv$BOBYQAOptimizer#prelim(double[],double[]):1696",numEval;n
"org.apache.commons.math3.optim.nonlinear.scalar.noderiv$BOBYQAOptimizer#prelim(double[],double[]):1697",numEval;n
"org.apache.commons.math3.analysis.solvers$LaguerreSolver#solveComplex(double[],double):233",initial;complexSolver;solve;coefficients;ComplexUtils;convertToComplex
org.apache.commons.math3.geometry.partitioning$BSPTree#split(org.apache.commons.math3.geometry.partitioning.SubHyperplane):545,split
org.apache.commons.math3.distribution$TriangularDistribution#inverseCumulativeProbability(double):271,p;a;b;c
org.apache.commons.math3.distribution$TriangularDistribution#inverseCumulativeProbability(double):272,p;a;b;c;sqrt;FastMath
"org.apache.commons.math3.fraction$FractionFormat#parse(java.lang.String,java.text.ParsePosition):221",num
"org.apache.commons.math3.linear$ArrayFieldVector#ArrayFieldVector(org.apache.commons.math3.Field,org.apache.commons.math3.FieldElement[],int,int):213",d;size;pos
org.apache.commons.math3.distribution$KolmogorovSmirnovDistribution#exactK(double):212,bigDecimalValue;pFrac;doubleValue;BigDecimal
"org.apache.commons.math3.transform$FastFourierTransformer#mdfft(java.lang.Object,org.apache.commons.math3.transform.TransformType):445",mdcm;getArray
"org.apache.commons.math3.transform$FastFourierTransformer#mdfft(java.lang.Object,org.apache.commons.math3.transform.TransformType):442",dimensionSize;i
org.apache.commons.math3.special$Erf#erfInv(double):229,p;x
"org.apache.commons.math3.geometry.partitioning$BSPTree#insertInTree(org.apache.commons.math3.geometry.partitioning.BSPTree,boolean):577",cut
