version;number
Closure@62;111121
Closure@63;111117
Closure@64;110387
Closure@65;110392
Closure@66;110283
Closure@67;110258
Closure@68;110240
Closure@69;110281
Closure@70;109625
Closure@71;106440
Closure@72;105866
Closure@73;104343
Closure@74;103421
Closure@75;102984
Closure@76;100803
Closure@77;100735
Closure@78;100737
Closure@79;100279
Closure@80;100236
Closure@81;99829
Closure@82;98776
Closure@83;98021
Closure@84;102819
Closure@85;102577
Closure@86;101971
Closure@87;101806
Closure@88;101767
Closure@89;100763
Closure@90;100724
Closure@91;100634
Closure@92;100536
Closure@93;100443
Closure@94;100294
Closure@95;94147
Closure@96;95078
Closure@97;90453
Closure@98;88048
Closure@99;88032
Closure@100;87803
Closure@101;84075
Closure@102;83373
Closure@103;83355
Closure@104;83355
Closure@105;82268
Closure@106;78155
Closure@107;132843
Closure@108;132835
Closure@109;132344
Closure@110;131114
Closure@111;120735
Closure@112;120134
Closure@113;120130
Closure@114;120130
Closure@115;120129
Closure@116;120104
Closure@117;119975
Closure@118;119959
Closure@119;119957
Closure@120;119876
Closure@121;119897
Closure@122;119768
Closure@123;119489
Closure@124;119168
Closure@125;118167
Closure@126;115796
Closure@127;115781
Closure@128;115461
Closure@129;115456
Closure@130;115439
Closure@131;115439
Closure@132;115361
Closure@133;115335
Lang@1;30534
Lang@2;30500
Lang@3;30445
Lang@4;30392
Lang@5;30214
Lang@6;30120
Lang@7;30146
Lang@8;28297
Lang@9;28416
Lang@10;28430
Lang@11;28289
Lang@12;28277
Lang@13;28356
Lang@14;27591
Lang@15;27476
Lang@16;27930
Lang@17;26654
Lang@18;26647
Lang@19;26625
Lang@20;26621
Lang@21;26471
Lang@22;26504
Lang@23;26404
Lang@24;26368
Lang@25;26368
Lang@26;25950
Lang@27;25854
Lang@28;25121
Lang@29;25102
Lang@30;24850
Lang@31;24800
Lang@32;24481
Lang@33;24483
Lang@34;24489
Lang@35;24106
Lang@36;24167
Lang@37;24143
Lang@38;24125
Lang@39;24022
Lang@40;24632
Lang@41;24538
Lang@42;27214
Lang@43;27212
Lang@44;27207
Lang@45;27160
Lang@46;26172
Lang@47;26688
Lang@48;26261
Lang@49;25870
Lang@50;25539
Lang@51;24657
Lang@52;24649
Lang@53;24588
Lang@54;24500
Lang@55;24497
Lang@56;24587
Lang@57;24587
Lang@58;24593
Lang@59;24570
Lang@60;24531
Lang@61;24531
Lang@62;24513
Lang@63;24320
Lang@64;24161
Lang@65;23977
Math@1;100233
Math@2;99628
Math@3;98222
Math@4;97918
Math@5;96285
Math@6;95994
Math@7;95569
Math@8;94645
Math@9;94319
Math@10;92229
Math@11;91789
Math@12;91791
Math@13;91778
Math@14;91774
Math@15;82193
Math@16;82152
Math@17;80621
Math@18;80455
Math@19;80355
Math@20;80355
Math@21;79794
Math@22;79922
Math@23;79906
Math@24;79731
Math@25;78936
Math@26;76701
Math@27;76701
Math@28;76695
Math@29;75433
Math@30;75421
Math@31;75260
Math@32;75229
Math@33;74224
Math@34;74197
Math@35;74159
Math@36;74685
Math@37;74800
Math@38;74371
Math@39;74353
Math@40;74522
Math@41;74539
Math@42;74535
Math@43;74110
Math@44;73568
Math@45;72753
Math@46;70763
Math@47;70761
Math@48;70791
Math@49;71465
Math@50;71500
Math@51;71434
Math@52;67934
Math@53;65138
Math@54;59200
Math@55;58755
Math@56;58766
Math@57;58608
Math@58;58245
Math@59;57016
Math@60;56415
Math@61;60122
Math@62;60116
Math@63;55323
Math@64;52611
Math@65;52538
Math@66;52141
Math@67;51601
Math@68;50315
Math@69;50315
Math@70;50331
Math@71;49408
Math@72;48138
Math@73;48133
Math@74;49481
Math@75;49461
Math@76;49451
Math@77;49402
Math@78;48763
Math@79;48690
Math@80;48620
Math@81;48618
Math@82;47827
Math@83;47825
Math@84;47795
Math@85;47272
Math@86;45000
Math@87;45003
Math@88;44974
Math@89;38604
Math@90;38600
Math@91;37910
Math@92;32111
Math@93;31978
Math@94;31757
Math@95;25316
Math@96;24691
Math@97;21022
Math@98;21001
Math@99;34465
Math@100;20615
Math@101;20610
Math@102;19821
Math@103;19343
Math@104;19238
Math@105;12588
Math@106;11977
Mockito@1;10882
Mockito@2;10978
Mockito@3;10885
Mockito@4;10951
Mockito@5;10917
Mockito@6;10925
Mockito@7;10923
Mockito@8;10923
Mockito@9;10748
Mockito@10;10560
Mockito@11;10475
Mockito@12;7313
Mockito@13;7295
Mockito@14;7191
Mockito@15;7609
Mockito@16;6510
Mockito@17;6500
Mockito@18;10880
Mockito@19;10880
Mockito@20;11538
Mockito@21;10723
Mockito@22;10516
Mockito@23;10446
Mockito@24;10446
Mockito@25;10123
Mockito@26;9487
Mockito@27;8453
Mockito@28;7651
Mockito@29;7608
Mockito@30;7614
Mockito@31;7616
Mockito@32;7391
Mockito@33;7363
Mockito@34;6510
Mockito@35;6300
Mockito@36;6201
Mockito@37;6189
Mockito@38;5656
