version;number
Lang@39;10977
Lang@40;11265
Lang@41;11226
Lang@42;12473
Lang@43;12472
Lang@44;12470
Lang@45;12450
Lang@46;12012
Lang@47;12259
Lang@48;12062
Lang@49;11882
Lang@50;11736
Lang@51;11321
Lang@52;11317
Lang@53;11290
Lang@54;11251
Lang@55;11250
Lang@56;11286
Lang@57;11286
Lang@58;11289
Lang@59;11280
Lang@60;11262
Lang@61;11262
Lang@62;11253
Lang@63;11174
Lang@64;11103
Lang@65;11022
Math@1;46510
Math@2;46226
Math@3;45571
Math@4;45429
Math@5;44664
Math@6;44534
Math@7;44333
Math@8;43900
Math@9;43754
Math@10;42749
Math@11;42535
Math@12;42536
Math@13;42531
Math@14;42529
Math@15;38155
Math@16;38136
Math@17;37442
Math@18;37364
Math@19;37315
Math@20;37315
Math@21;37052
Math@22;37108
Math@23;37102
Math@24;37025
Math@25;36654
Math@26;35620
Math@27;35620
Math@28;35618
Math@29;35030
Math@30;35024
Math@31;34950
Math@32;34936
Math@33;34483
Math@34;34469
Math@35;34453
Math@36;34673
Math@37;34731
Math@38;34533
Math@39;34526
Math@40;34607
Math@41;34615
Math@42;34613
Math@43;34411
Math@44;34162
Math@45;33763
Math@46;32846
Math@47;32845
Math@48;32858
Math@49;33156
Math@50;33169
Math@51;33141
Math@52;31574
Math@53;30306
Math@54;27548
Math@55;27335
Math@56;27340
Math@57;27279
Math@58;27108
Math@59;26525
Math@60;26244
Math@61;27933
Math@62;27930
Math@63;25745
Math@64;24461
Math@65;24427
Math@66;24246
Math@67;23991
Math@68;23363
Math@69;23363
Math@70;23370
Math@71;22956
Math@72;22359
Math@73;22357
Math@74;22983
Math@75;22974
Math@76;22970
Math@77;22945
Math@78;22604
Math@79;22570
Math@80;22537
Math@81;22536
Math@82;22216
Math@83;22215
Math@84;22201
Math@85;21962
Math@86;20889
Math@87;20890
Math@88;20876
Math@89;17918
Math@90;17916
Math@91;17598
Math@92;14926
Math@93;14863
Math@94;14756
Math@95;11772
Math@96;11486
Math@97;9817
Math@98;9807
Math@99;16015
Math@100;9629
Math@101;9627
Math@102;9254
Math@103;9030
Math@104;8982
Math@105;5882
Math@106;5594
Mockito@1;5298
Mockito@2;5298
Mockito@3;5298
Mockito@4;5286
Mockito@5;5269
Mockito@6;5274
Mockito@7;5273
Mockito@8;5273
Mockito@9;5191
Mockito@10;5104
Mockito@11;5061
Mockito@12;3546
Mockito@13;3537
Mockito@14;3486
Mockito@15;3683
Mockito@16;3162
Mockito@17;3157
Mockito@18;5295
Mockito@19;5295
Mockito@20;5571
Mockito@21;5181
Mockito@22;5080
Mockito@23;5047
Mockito@24;5047
Mockito@25;4890
Mockito@26;4590
Mockito@27;4089
Mockito@28;3699
Mockito@29;3680
Mockito@30;3683
Mockito@31;3686
Mockito@32;3580
Mockito@33;3569
Mockito@34;3161
Mockito@35;3061
Mockito@36;3012
Mockito@37;3007
Mockito@38;2740
