version;number
Mockito@12;8584
Mockito@13;8564
Mockito@14;8442
Mockito@15;8927
Mockito@16;7651
Mockito@17;7640
Mockito@18;12779
Mockito@19;12779
Mockito@20;13591
Mockito@21;12634
Mockito@22;12383
Mockito@23;12292
Mockito@24;12292
Mockito@25;11921
Mockito@26;11167
Mockito@27;9928
Mockito@28;8983
Mockito@29;8931
Mockito@30;8938
Mockito@31;8936
Mockito@32;8674
Mockito@33;8640
Mockito@34;7653
Mockito@35;7405
Mockito@36;7293
Mockito@37;7278
Mockito@38;6665
