no,error_type,start_location,end_location
35,change_assignment,"org.apache.commons.math3.genetics$ElitisticListPopulation#ElitisticListPopulation(int,double):65","org.apache.commons.math3.genetics$ElitisticListPopulation#ElitisticListPopulation(int,double):65"
36,insert_branch,org.apache.commons.math.fraction$BigFraction#doubleValue():685,org.apache.commons.math.fraction$BigFraction#doubleValue():688
36,insert_branch,org.apache.commons.math.fraction$BigFraction#floatValue():732,org.apache.commons.math.fraction$BigFraction#floatValue():735
37,change_condition,org.apache.commons.math.complex$Complex#tan():1018,org.apache.commons.math.complex$Complex#tan():1018
37,insert_branch,org.apache.commons.math.complex$Complex#tan():1020,org.apache.commons.math.complex$Complex#tan():1022
37,change_condition,org.apache.commons.math.complex$Complex#tanh():1063,org.apache.commons.math.complex$Complex#tanh():1063
37,insert_branch,org.apache.commons.math.complex$Complex#tanh():1065,org.apache.commons.math.complex$Complex#tanh():1066
38,change_assignment,"org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1662","org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1663"
38,delete_throw,"org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1752","org.apache.commons.math.optimization.direct$BOBYQAOptimizer#prelim(double[],double[]):1752"
39,insert_branch,"org.apache.commons.math.ode.nonstiff$EmbeddedRungeKuttaIntegrator#integrate(org.apache.commons.math.ode.ExpandableStatefulODE,double):249","org.apache.commons.math.ode.nonstiff$EmbeddedRungeKuttaIntegrator#integrate(org.apache.commons.math.ode.ExpandableStatefulODE,double):252"
40,change_assignment,org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():235,org.apache.commons.math.analysis.solvers$BracketingNthOrderBrentSolver#doSolve():235
41,change_for_condition,"org.apache.commons.math.stat.descriptive.moment$Variance#evaluate(double[],double[],double,int,int):520","org.apache.commons.math.stat.descriptive.moment$Variance#evaluate(double[],double[],double,int,int):520"
42,insert_branch,org.apache.commons.math.optimization.linear$SimplexTableau#getSolution():409,org.apache.commons.math.optimization.linear$SimplexTableau#getSolution():413
43,change_condition,org.apache.commons.math.stat.descriptive$SummaryStatistics#addValue(double):158,org.apache.commons.math.stat.descriptive$SummaryStatistics#addValue(double):158
43,change_condition,org.apache.commons.math.stat.descriptive$SummaryStatistics#addValue(double):161,org.apache.commons.math.stat.descriptive$SummaryStatistics#addValue(double):161
43,change_condition,org.apache.commons.math.stat.descriptive$SummaryStatistics#addValue(double):164,org.apache.commons.math.stat.descriptive$SummaryStatistics#addValue(double):164
44,delete_assignment,"org.apache.commons.math.ode$AbstractIntegrator#acceptStep(org.apache.commons.math.ode.sampling.AbstractStepInterpolator,double[],double[],double):280","org.apache.commons.math.ode$AbstractIntegrator#acceptStep(org.apache.commons.math.ode.sampling.AbstractStepInterpolator,double[],double[],double):280"
44,insert_for_branch,"org.apache.commons.math.ode$AbstractIntegrator#acceptStep(org.apache.commons.math.ode.sampling.AbstractStepInterpolator,double[],double[],double):342","org.apache.commons.math.ode$AbstractIntegrator#acceptStep(org.apache.commons.math.ode.sampling.AbstractStepInterpolator,double[],double[],double):343"
45,insert_branch,"org.apache.commons.math.linear$OpenMapRealMatrix#OpenMapRealMatrix(int,int):49","org.apache.commons.math.linear$OpenMapRealMatrix#OpenMapRealMatrix(int,int):50"
46,change_return_value,org.apache.commons.math.complex$Complex#divide(org.apache.commons.math.complex.Complex):260,org.apache.commons.math.complex$Complex#divide(org.apache.commons.math.complex.Complex):260
47,insert_assignment,"org.apache.commons.math.complex$Complex#Complex(double,double):103","org.apache.commons.math.complex$Complex#Complex(double,double):105"
47,change_condition,org.apache.commons.math.complex$Complex#divide(org.apache.commons.math.complex.Complex):256,org.apache.commons.math.complex$Complex#divide(org.apache.commons.math.complex.Complex):256
47,change_return_value,org.apache.commons.math.complex$Complex#divide(org.apache.commons.math.complex.Complex):257,org.apache.commons.math.complex$Complex#divide(org.apache.commons.math.complex.Complex):257
48,insert_branch,org.apache.commons.math.analysis.solvers$BaseSecantSolver#doSolve():186,org.apache.commons.math.analysis.solvers$BaseSecantSolver#doSolve():189
49,change_assignment,org.apache.commons.math.linear$OpenMapRealVector#ebeMultiply(org.apache.commons.math.linear.RealVector):370,org.apache.commons.math.linear$OpenMapRealVector#ebeMultiply(org.apache.commons.math.linear.RealVector):370
50,delete_branch,org.apache.commons.math.analysis.solvers$BaseSecantSolver#doSolve():187,org.apache.commons.math.analysis.solvers$BaseSecantSolver#doSolve():190
51,insert_branch,org.apache.commons.math.analysis.solvers$BaseSecantSolver#doSolve():184,org.apache.commons.math.analysis.solvers$BaseSecantSolver#doSolve():187
51,insert_throw,org.apache.commons.math.analysis.solvers$BaseSecantSolver#doSolve():187,org.apache.commons.math.analysis.solvers$BaseSecantSolver#doSolve():189
52,change_condition,"org.apache.commons.math.geometry.euclidean.threed$Rotation#Rotation(org.apache.commons.math.geometry.euclidean.threed.Vector3D,org.apache.commons.math.geometry.euclidean.threed.Vector3D,org.apache.commons.math.geometry.euclidean.threed.Vector3D,org.apache.commons.math.geometry.euclidean.threed.Vector3D):344","org.apache.commons.math.geometry.euclidean.threed$Rotation#Rotation(org.apache.commons.math.geometry.euclidean.threed.Vector3D,org.apache.commons.math.geometry.euclidean.threed.Vector3D,org.apache.commons.math.geometry.euclidean.threed.Vector3D,org.apache.commons.math.geometry.euclidean.threed.Vector3D):344"
53,insert_return_branch,org.apache.commons.math.complex$Complex#add(org.apache.commons.math.complex.Complex):152,org.apache.commons.math.complex$Complex#add(org.apache.commons.math.complex.Complex):153
54,insert_branch,org.apache.commons.math.dfp$Dfp#toDouble():2318,org.apache.commons.math.dfp$Dfp#toDouble():2319
54,change_condition,org.apache.commons.math.dfp$Dfp#toDouble():2319,org.apache.commons.math.dfp$Dfp#toDouble():2319
55,insert_branch,"org.apache.commons.math.geometry$Vector3D#crossProduct(org.apache.commons.math.geometry.Vector3D,org.apache.commons.math.geometry.Vector3D):457","org.apache.commons.math.geometry$Vector3D#crossProduct(org.apache.commons.math.geometry.Vector3D,org.apache.commons.math.geometry.Vector3D):473"
55,change_return_value,"org.apache.commons.math.geometry$Vector3D#crossProduct(org.apache.commons.math.geometry.Vector3D,org.apache.commons.math.geometry.Vector3D):473","org.apache.commons.math.geometry$Vector3D#crossProduct(org.apache.commons.math.geometry.Vector3D,org.apache.commons.math.geometry.Vector3D):473"
56,delete_while,org.apache.commons.math.util$MultidimensionalCounter#getCounts(int):238,org.apache.commons.math.util$MultidimensionalCounter#getCounts(int):241
56,change_assignment,org.apache.commons.math.util$MultidimensionalCounter#getCounts(int):243,org.apache.commons.math.util$MultidimensionalCounter#getCounts(int):243
57,change_assignment,"org.apache.commons.math.stat.clustering$KMeansPlusPlusClusterer#chooseInitialCenters(java.util.Collection,int,java.util.Random):175","org.apache.commons.math.stat.clustering$KMeansPlusPlusClusterer#chooseInitialCenters(java.util.Collection,int,java.util.Random):175"
58,change_method_parameter,org.apache.commons.math.optimization.fitting$GaussianFitter#fit():121,org.apache.commons.math.optimization.fitting$GaussianFitter#fit():121
59,change_return_value,"org.apache.commons.math.util$FastMath#max(float,float):3482","org.apache.commons.math.util$FastMath#max(float,float):3482"
60,insert_branch,org.apache.commons.math.distribution$NormalDistributionImpl#cumulativeProbability(double):125,org.apache.commons.math.distribution$NormalDistributionImpl#cumulativeProbability(double):126
60,remove_try_coverage,org.apache.commons.math.distribution$NormalDistributionImpl#cumulativeProbability(double):126,org.apache.commons.math.distribution$NormalDistributionImpl#cumulativeProbability(double):137
61,change_throw,"org.apache.commons.math.distribution$PoissonDistributionImpl#PoissonDistributionImpl(double,double,int):94","org.apache.commons.math.distribution$PoissonDistributionImpl#PoissonDistributionImpl(double,double,int):94"
62,change_method_parameter,"org.apache.commons.math.optimization.univariate$MultiStartUnivariateRealOptimizer#optimize(org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double):146","org.apache.commons.math.optimization.univariate$MultiStartUnivariateRealOptimizer#optimize(org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double):146"
62,change_assignment,"org.apache.commons.math.optimization.univariate$MultiStartUnivariateRealOptimizer#optimize(org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double):160","org.apache.commons.math.optimization.univariate$MultiStartUnivariateRealOptimizer#optimize(org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double):162"
63,change_return_value,"org.apache.commons.math.util$MathUtils#equals(double,double):417","org.apache.commons.math.util$MathUtils#equals(double,double):417"
64,insert_for_branch,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():269,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():270
64,change_method_parameter,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():278,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():278
64,change_assignment,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():316,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():316
64,insert_assignment,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():322,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():324
64,change_method_parameter,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():346,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():346
64,delete_assignment,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():365,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():365
64,insert_assignment,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():420,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():424
64,insert_return_branch,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():420,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():424
64,insert_assignment,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():343,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():346
64,insert_assignment,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():433,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():434
65,change_return_value,org.apache.commons.math.optimization.general$AbstractLeastSquaresOptimizer#getRMS():245,org.apache.commons.math.optimization.general$AbstractLeastSquaresOptimizer#getRMS():245
65,change_assignment,org.apache.commons.math.optimization.general$AbstractLeastSquaresOptimizer#getChiSquare():258,org.apache.commons.math.optimization.general$AbstractLeastSquaresOptimizer#getChiSquare():258
66,change_method_parameter,org.apache.commons.math.optimization.univariate$BrentOptimizer#BrentOptimizer():44,org.apache.commons.math.optimization.univariate$BrentOptimizer#BrentOptimizer():44
66,change_method_parameter,org.apache.commons.math.optimization.univariate$BrentOptimizer#BrentOptimizer():46,org.apache.commons.math.optimization.univariate$BrentOptimizer#BrentOptimizer():47
66,delete_method,"org.apache.commons.math.optimization.univariate$BrentOptimizer#optimize(org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double):59","org.apache.commons.math.optimization.univariate$BrentOptimizer#optimize(org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double):64"
66,delete_method,"org.apache.commons.math.optimization.univariate$BrentOptimizer#optimize(org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double):65","org.apache.commons.math.optimization.univariate$BrentOptimizer#optimize(org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double):67"
66,change_method_definition,"org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):93","org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):93"
66,change_assignment,"org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):119","org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):119"
66,change_condition,"org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):120","org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):120"
66,change_while_condition,"org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):127","org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):127"
66,change_assignment,"org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):200","org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):200"
66,change_condition,"org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):201","org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):201"
66,change_assignment,"org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):238","org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):238"
66,change_assignment,"org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):241","org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):241"
67,change_return_value,org.apache.commons.math.optimization$MultiStartUnivariateRealOptimizer#getResult():97,org.apache.commons.math.optimization$MultiStartUnivariateRealOptimizer#getResult():97
